create_time,start_time,cards,gpu_time,duration_time,migration_cost,pre_queue_time
106,0,1,721,721,164,0
108,0,1,315,315,205,0
110,0,1,574,574,150,0
113,0,2,3622,1811,1406,0
125,0,2,2688,1344,273,0
130,0,4,11276,2819,1879,0
131,0,8,70440,8339,2317,0
132,0,2,3028,1514,840,0
147,0,1,212,212,137,0
162,0,2,3360,1680,1410,0
172,0,1,235,235,157,0
175,0,2,2912,1456,536,0
177,0,2,3896,1948,445,0
198,0,2,3994,1997,214,0
199,0,8,64224,7661,5404,0
213,0,4,10980,2745,2308,0
225,0,1,754,754,638,0
252,0,1,896,896,467,0
255,0,1,584,584,482,0
266,0,1,385,385,133,0
270,0,1,111,111,50,0
271,0,2,3140,1570,714,0
292,0,2,3954,1977,1430,0
301,0,2,2580,1290,694,0
322,0,1,913,913,565,0
326,0,1,519,519,55,0
329,0,1,323,323,196,0
342,0,1,775,775,569,0
363,0,1,497,497,98,0
366,0,2,3086,1543,189,0
377,0,2,3010,1505,445,0
385,0,2,3710,1855,1434,0
388,0,2,3944,1972,294,0
391,0,1,510,510,437,0
394,0,1,200,200,79,0
417,0,4,11996,2999,898,0
418,0,1,317,317,206,0
446,0,1,246,246,24,0
450,0,1,794,794,371,0
477,0,2,2232,1116,185,0
480,0,4,8308,2077,1584,0
486,0,2,3886,1943,1635,0
491,0,2,2210,1105,908,0
493,0,2,2946,1473,955,0
495,0,1,336,336,138,0
509,0,4,11116,2779,1754,0
510,0,1,763,763,612,0
531,0,1,576,576,351,0
549,0,1,916,916,663,0
551,0,2,3278,1639,649,0
556,0,2,3520,1760,1183,0
584,0,1,145,145,19,0
588,0,2,2348,1174,996,0
592,0,1,524,524,318,0
603,0,2,2680,1340,467,0
609,0,1,530,530,431,0
615,0,1,884,884,588,0
623,0,1,945,945,562,0
633,0,2,3050,1525,390,0
642,0,8,56856,8307,1275,7218
643,0,4,13356,3339,1068,0
660,0,2,2626,1313,194,0
681,0,1,270,270,197,0
688,0,1,668,668,70,0
690,0,1,759,759,620,0
703,0,2,3658,1829,1637,0
721,0,2,3026,1513,580,0
737,0,1,304,304,240,0
745,0,1,108,108,81,0
751,0,1,784,784,496,0
797,0,2,3026,1513,453,0
825,0,4,11564,2891,919,6
831,0,2,2360,1180,534,0
832,0,2,2986,1493,798,0
835,0,1,566,566,251,0
845,0,4,15292,3823,2227,0
855,0,2,2044,1022,667,0
872,0,1,581,581,313,0
880,0,1,614,614,226,0
883,0,1,548,548,226,0
897,0,1,650,650,531,0
913,0,1,916,916,127,0
918,0,2,2748,1374,630,0
939,0,2,3564,1782,877,0
941,0,1,552,552,298,0
941,0,2,3574,1787,1038,0
943,0,2,2224,1112,690,0
958,0,1,183,183,133,0
960,0,2,3728,1864,244,0
964,0,1,866,866,483,0
970,0,1,628,628,218,0
988,0,2,2428,1214,938,0
993,0,1,641,641,503,0
1008,0,1,270,270,189,0
1033,0,1,792,792,166,0
1042,0,1,539,539,376,0
1043,0,4,16920,4230,2079,1514
1046,0,1,270,270,141,0
1062,0,4,16532,4133,1920,1887
1102,0,2,3990,1995,910,37
1134,0,1,422,422,232,0
1147,0,1,237,237,78,0
1152,0,4,12564,3141,2030,1806
1154,0,1,387,387,261,0
1154,0,8,73576,9309,2534,7316
1156,0,2,3426,1713,711,228
1158,0,2,2424,1212,799,311
1161,0,1,900,900,238,0
1162,0,2,2118,1059,900,385
1178,0,1,573,573,291,0
1180,0,2,3312,1656,232,411
1189,0,2,3554,1777,610,404
1205,0,1,939,939,205,0
1208,0,1,393,393,155,0
1217,0,1,567,567,473,0
1222,0,1,526,526,73,0
1227,0,1,305,305,72,0
1242,0,4,18360,4590,2398,2046
1246,0,1,556,556,396,0
1252,0,1,414,414,243,0
1261,0,1,394,394,263,0
1262,0,1,373,373,264,0
1280,0,1,118,118,103,0
1285,0,2,2766,1383,312,311
